"movie_title","duration","director_name","director_facebook_likes","actor_1_name","actor_1_facebook_likes","actor_2_name","actor_2_facebook_likes","actor_3_name","actor_3_facebook_likes","num_critic_for_reviews","num_user_for_reviews","num_voted_users","cast_total_facebook_likes","movie_facebook_likes","plot_keywords","facenumber_in_poster","color","genres","title_year","language","country","content_rating","aspect_ratio","movie_imdb_link","gross","budget","imdb_score"
"Men with Brooms ",102,"Paul Gross",329,"Molly Parker",611,"Paul Gross",329,"Kari Matchett",280,9,83,3709,1834,0,"championship|coach|curling|marriage|rural setting",3,"Color","Comedy|Drama|Romance|Sport",2002,"English","Canada","R",1.85,"http://www.imdb.com/title/tt0263734/?ref_=fn_tt_tt_1",4239767,7500000,6
"Twins ",107,"Ivan Reitman",425,"Kelly Preston",742,"Tony Jay",384,"Hugh O'Brian",247,27,79,87538,2151,0,"bare chested male|brother|catholic orphanage|long lost siblings|twins",1,"Color","Comedy|Crime",1988,"English","USA","PG",1.85,"http://www.imdb.com/title/tt0096320/?ref_=fn_tt_tt_1",111936400,1.5e+07,6
"Megiddo: The Omega Code 2 ",104,"Brian Trenchard-Smith",53,"Michael Biehn",2000,"Udo Kier",595,"Franco Nero",576,18,111,2253,4221,158,"armageddon|battle|end times|reference to satan|sequel",0,"Color","Action|Adventure|Fantasy|Sci-Fi|Thriller",2001,"English","USA","PG-13",1.85,"http://www.imdb.com/title/tt0263728/?ref_=fn_tt_tt_1",5974653,2.2e+07,4.1
"Frida ",123,"Julie Taymor",278,"Salma Hayek",4000,"Roger Rees",1000,"Valeria Golino",898,128,271,61651,7072,0,"art|bisexual|marriage|pain|revolutionary",0," Black and White","Biography|Drama|Romance",2002,"English","USA","R",1.85,"http://www.imdb.com/title/tt0120679/?ref_=fn_tt_tt_1",25776062,1.2e+07,7.4
"A Simple Wish ",89,"Michael Ritchie",23,"Mara Wilson",1000,"Francis Capra",937,"Kathleen Turner",899,21,21,4288,5535,517,"8 year old|convention|magic|magic wand|male fairy godmother",3,"Color","Comedy|Family|Fantasy",1997,"English","USA","PG",1.85,"http://www.imdb.com/title/tt0120133/?ref_=fn_tt_tt_1",8119205,2.8e+07,5.4
"That Thing You Do! ",149,"Tom Hanks",15000,"Tom Hanks",15000,"Charlize Theron",9000,"Ethan Embry",982,75,212,50311,28713,0,"band|drummer|jazz|pennsylvania|song",6,"Color","Comedy|Drama|Music",1996,"English","USA","PG",1.37,"http://www.imdb.com/title/tt0117887/?ref_=fn_tt_tt_1",25809813,2.6e+07,6.9
"My Big Fat Greek Wedding ",95,"Joel Zwick",38,"Nia Vardalos",567,"Louis Mandylor",312,"Lainie Kazan",249,168,756,102071,1495,5000,"baptism|greek|greek restaurant|prejudice|travel agency",3,"Color","Comedy|Family|Romance",2002,"English","USA","PG",1.85,"http://www.imdb.com/title/tt0259446/?ref_=fn_tt_tt_1",241437427,5e+06,6.6
"Click ",107,"Frank Coraci",153,"Adam Sandler",11000,"Cameron Monaghan",1000,"Julie Kavner",233,173,685,246492,12700,7000,"architect|frozen time|obese man|remote control|stopped time",1,"Color","Comedy|Drama|Fantasy|Romance",2006,"English","USA","PG-13",1.85,"http://www.imdb.com/title/tt0389860/?ref_=fn_tt_tt_1",137340146,7e+07,6.4
"The Siege ",116,"Edward Zwick",380,"Denzel Washington",18000,"Bruce Willis",13000,"Mark Valley",774,120,281,58023,32563,0,"abduction|martial law|military|new york city|terrorist",0,"Color","Action|Thriller",1998,"English","USA","R",2.35,"http://www.imdb.com/title/tt0133952/?ref_=fn_tt_tt_1",40932372,7e+07,6.3
"Jeepers Creepers ",90,"Victor Salva",108,"Eileen Brennan",1000,"Patricia Belcher",322,"Jonathan Breck",270,190,985,86890,1982,0,"demon|gore|record player|tattoo|wings",0,"Color","Horror|Mystery",2001,"English","Germany","R",1.85,"http://www.imdb.com/title/tt0263488/?ref_=fn_tt_tt_1",37470017,1e+07,6.1
